atividade_principal,total_pessoas
"Agricultura, pecuária, produção florestal e pesca",61214
Comércio no atacado e varejo,53358
,33997
Indústria da transformação (inclusive confecção e fabricação caseira),32801
Educação,31071
Saúde humana e assistência social,27485
Construção,26865
"Administração pública (governo federal, estadual e municipal)",23693
Serviço doméstico remunerado,22776
"Serviço de alimentação (bares, restaurantes, ambulantes de alimentação)",20479
"Atividades de locação de mão de obra, segurança, limpeza, paisagismo e teleatendimento",11996
"Escritórios de advocacia, engenharia, publicidade e veterinária (Atividades profissionais, científicas e técnicas)",10636
"Cabeleireiros, tratamento de beleza e serviços pessoais",8944
Transporte de passageiros,8934
Transporte de mercadorias,8571
Reparação de veículos automotores e motocicletas,8553
"Informação e comunicação (jornais, rádio e televisão, telecomunicações e informática)",7438
"Bancos, atividades financeiras e de seguros",5851
"Fornecimento de eletricidade e gás, água, esgoto e coleta de lixo",3702
"Atividade artísticas, esportivas e de recreação",3215
"Extração de petróleo, carvão mineral, minerais metálicos, pedra, areia, sal etc.",3179
Atividades imobiliárias,2121
"Organizações religiosas, sindicatos e associações",1652
"Hospedagem (hotéis, pousadas etc.)",1599
"Armazenamento, correios e serviços de entregas",1338
